Numer konta księgowego,Nazwa konta księgowego,Nazwa dokumentu,Numer dokumentu,Data wystawienia dokumentu,Kwota dokumentu,Kwota WN,Data zapłaty,Dokument rozliczeniowy,Opis wydatku,Podmiot
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0028/2024/05/13-000,2024-05-31,6875,6875,2024-06-17,WB/133-127/24/0046/1,zajęcia muzyczne z elementami tańca,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,IPO-8012514/2024,2024-06-14,143.8,143.8,2024-06-17,WB/133-127/24/0046/4,dostęp do Portalu Oświatowego,WIEDZA I PRAKTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-210,Usługi pomocy dydaktycznej,,1/MAR/06/2024,2024-06-12,3800,3800,2024-06-18,WB/133-127/24/0047/3,wycieczka,CENTRUM TURYSTYCZNO-REKREACYJNE HAPPY TIME SPORT I REKREACJA  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0006/2024/06/10-001,2024-06-07,9834,9834,2024-06-18,WB/133-127/24/0047/2,pomoc psychologiczno-pedagogiczna,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0027/2024/06/13-000,2024-06-30,6875,6875,2024-07-17,WB/133-127/24/0058/1,"zajęcia muzyczne z elementami tańca, przedszkole pitagoras Wrocław",EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,IPO-4015117/2024,2024-07-15,143.8,143.8,2024-07-16,WB/133-127/24/0057/6,dostęp do Portalu Oświatowego,WIEDZA I PRAKTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0002/2024/07/10-001,2024-07-15,9834,9834,2024-07-17,WB/133-127/24/0058/2,"pomoc psychologiczno-pedagogiczna, przedszkole Pitagoras Wrocław",EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0002/2024/08/10-001,2024-08-07,9834,9834,2024-08-09,WB/133-127/24/0065/1,pomoc psychologiczno - pedagogiczna,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-212,"Usługi pocztowe ,kurierskie",,689/01/2024/PL,2024-01-30,129.8,19.9,2024-01-30,WB/130-101/24/0022/148,klej do korka,KORK.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-213,Usługi sprzątania pomieszczeń oraz utrzymania terenów zielonych,,FV2024/01/03,2024-01-31,3000,3000,2024-02-13,WB/133-127/24/0011/2,sprzątanie przedszkola,CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-213,Usługi sprzątania pomieszczeń oraz utrzymania terenów zielonych,,FV2024/02/03,2024-03-11,3000,3000,2024-03-19,WB/133-127/24/0022/3,sprzątanie przedszkola Piękna,CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-213,Usługi sprzątania pomieszczeń oraz utrzymania terenów zielonych,,FV2024/03/03,2024-03-29,3000,3000,2024-04-12,WB/133-127/24/0028/1,sprzątanie przedszkola Piękna,CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-213,Usługi sprzątania pomieszczeń oraz utrzymania terenów zielonych,,FV2024/04/04,2024-04-30,3000,3000,2024-05-27,WB/133-127/24/0040/3,sprzątanie przedszkola,CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-213,Usługi sprzątania pomieszczeń oraz utrzymania terenów zielonych,,FV2024/05/05,2024-05-31,3000,3000,2024-06-12,WB/133-127/24/0045/3,sprzątanie przedszkola Piękna,CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-213,Usługi sprzątania pomieszczeń oraz utrzymania terenów zielonych,,FV2024/06/06,2024-06-28,3000,3000,2024-07-16,WB/133-127/24/0057/1,sprzątanie przedszkola Piękna,CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-213,Usługi sprzątania pomieszczeń oraz utrzymania terenów zielonych,,FV2024/07/01,2024-07-24,3000,3000,2024-08-01,WB/133-127/24/0064/3,sprzątanie przedszkola Piękna za lipiec,CLEANING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-214,Usługi utrzymania budynku,,FAV/000006/01/2024/10,2024-01-24,91000,91000,2024-01-26,WB/130-101/24/0020/70,usługi utrzymania budynku,INFRASTRUKTURA OŚWIATY DGF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
520-10-022-1-214,Usługi utrzymania budynku,,FAV/000006/02/2024/10,2024-02-22,91000,91000,2024-02-28,WB/130-101/24/0045/60,usługi utrzymania budynku,INFRASTRUKTURA OŚWIATY DGF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
520-10-022-1-214,Usługi utrzymania budynku,,FAV/000006/03/2024/10,2024-03-22,92000,92000,2024-03-28,WB/130-101/24/0071/37,usługi utrzymania budynku,INFRASTRUKTURA OŚWIATY DGF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
520-10-022-1-214,Usługi utrzymania budynku,,FAV/000006/04/2024/10,2024-04-22,92000,92000,2024-05-08,WB/130-101/24/0105/85,"najem pomieszczeń wraz z mediami ul. Piękna , Złotostocka Wrocław",INFRASTRUKTURA OŚWIATY DGF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
520-10-022-1-214,Usługi utrzymania budynku,,FVA/000006/05/2024/10,2024-05-27,92000,92000,2024-05-29,WB/130-101/24/0122/8,"najem pomieszczeń wraz z mediami ul. Piękna , Złotostocka Wrocław",INFRASTRUKTURA OŚWIATY DGF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
520-10-022-1-214,Usługi utrzymania budynku,,FAV/000006/06/2024/10,2024-06-24,92000,92000,2024-06-28,WB/130-101/24/0145/6,"najem pomieszczeń, ul złotostocka, ul. Piękna, Przedszkole Pitagoras wro",INFRASTRUKTURA OŚWIATY DGF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
520-10-022-1-214,Usługi utrzymania budynku,,FAV/000006/07/2024/10,2024-07-24,92000,92000,2024-07-31,WB/130-101/24/0174/29,"najem pomieszczeń z mediami, przedszkole Pitagoras Wrocław",INFRASTRUKTURA OŚWIATY DGF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
520-10-022-1-214,Usługi utrzymania budynku,,FAV/000006/08/2024/10,2024-08-26,92000,92000,2024-08-30,WB/130-101/24/0200/66,"najem pomieszczeń z mediami, ul.Złotostocka, Piękna W-w, przedszkole Pitagoras",INFRASTRUKTURA OŚWIATY DGF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA
520-10-022-1-215,Usługi pozostałe,,FS/175/01/2024,2024-01-31,811.8,811.8,2024-03-05,WB/133-127/24/0018/2,abonament roczny czujnik smog,AIRLY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/01/1,2024-01-23,268650.56,110610.84,2024-01-26,WB/133-127/24/0004; LPE/WRO Pitagor/2023/12/2/0001; LPE/WRO Pitagor/2023/12/3/0001,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/01/2,2024-01-30,1219.85,1078.77,2024-01-30,WB/133-127/24/0005,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/02/1,2024-02-22,271845.76,114545.45,2024-02-26,WB/133-127/24/0014; LPE/WRO Pitagor/2024/01/3/0001; LPE/WRO Pitagor/2024/01/3/0002,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/02/2,2024-02-28,2135.36,2135.36,2024-02-29,WB/133-127/24/0015,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/03/1,2024-03-21,276212.97,112173.57,2024-03-26,WB/133-127/24/0023,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/04/1,2024-04-22,281169.24,109948.45,2024-04-26,WB/133-127/24/0033,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/05/2,2024-05-21,288784.79,114491.39,2024-05-28,WB/133-127/24/0041,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/05/1,2024-05-21,194387.97,126825,2024-06-26,WB/133-127/24/0048,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/06/1,2024-06-20,347052.72,127207.87,2024-06-26,WB/133-127/24/0048,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/07/1,2024-07-23,306007.27,116063.25,2024-07-29,WB/133-127/24/0062,LPE,
520-10-022-1-411,Wynagrodzenie Nauczycieli - Umowy o Pracę,,LPE/WRO Pitagor/2024/08/1,2024-08-28,310370.93,116157.14,2024-08-29,WB/133-127/24/0070,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/01/1,2024-01-23,268650.56,78420.62,2024-01-26,WB/133-127/24/0004; LPE/WRO Pitagor/2023/12/2/0001; LPE/WRO Pitagor/2023/12/3/0001,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/01/1,2024-01-26,15075.79,12893,2024-01-29,WB/133-101/24/0004,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Guliwer/2024/01/1,2024-01-23,145752.26,890,2024-01-30,WB/133-143/24/0004; WB/133-101/24/0005,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/01/3,2024-01-31,-56.55,-56.55,2024-02-22,LPE/WRO Pitagor/2024/02/1/0028; LPE/WRO Pitagor/2024/02/1/0046,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Guliwer/2024/02/1,2024-02-22,148669.03,869.9,2024-02-26,WB/133-143/24/0010; WB/133-101/24/0010; LPE/WRO Guliwer/2024/01/2/0001; LPE/WRO Guliwer/2024/01/3/0001,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/02/1,2024-02-22,271845.76,79263.4,2024-02-26,WB/133-127/24/0014; LPE/WRO Pitagor/2024/01/3/0001; LPE/WRO Pitagor/2024/01/3/0002,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/02/1,2024-02-26,17999.04,15393,2024-02-27,WB/133-101/24/0011,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/03/1,2024-03-21,276212.97,86112.03,2024-03-26,WB/133-127/24/0023,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPB/WRO Pitagor/2024/03/1,2024-03-19,0,1999.17,2024-03-26,WB/133-127/24/0023,LPB,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/03/1,2024-03-25,15075.79,12893,2024-03-27,WB/133-101/24/0017,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Guliwer/2024/03/1,2024-03-21,151300.48,1393.27,2024-03-28,WB/133-143/24/0021; WB/133-101/24/0018,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/04/1,2024-04-25,18522.88,15841,2024-04-26,WB/133-101/24/0025,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Guliwer/2024/04/1,2024-04-22,142910.34,1412.5,2024-04-26,WB/133-143/24/0031; WB/133-101/24/0025,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/04/1,2024-04-22,281169.24,87624.71,2024-04-26,WB/133-127/24/0033,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/05/2,2024-05-26,15090.99,12906,2024-05-28,WB/133-101/24/0031,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Guliwer/2024/05/4,2024-05-21,155877.27,1007.02,2024-05-28,WB/133-143/24/0041; LPE/WRO Guliwer/2024/04/3/0001; WB/133-101/24/0031,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/05/2,2024-05-21,288784.79,92061.6,2024-05-28,WB/133-127/24/0041,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/05/1,2024-05-21,194387.97,14896.95,2024-06-26,WB/133-127/24/0048,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/06/1,2024-06-20,347052.72,120258.66,2024-06-26,WB/133-127/24/0048,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPB/WRO Pitagor/2024/06/1,2024-06-20,0,2155.36,2024-06-26,WB/133-127/24/0048,LPB,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Guliwer/2024/05/3,2024-05-21,86393.62,1250,2024-06-27,WB/133-143/24/0051; WB/133-101/24/0038,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Guliwer/2024/06/1,2024-06-21,158818.32,1477.34,2024-06-27,WB/133-143/24/0051; WB/133-101/24/0038,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/06/1,2024-06-26,19768.19,16906,2024-06-27,WB/133-101/24/0038,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/05/1,2024-05-27,23386,20000,2024-06-27,WB/133-101/24/0038,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/07/1,2024-07-23,306007.27,100293.51,2024-07-29,WB/133-127/24/0062,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/07/1,2024-07-23,19768.19,16906,2024-07-29,WB/133-101/24/0047,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/07/3,2024-07-30,4451.23,76,2024-07-31,WB/133-127/24/0063; LPE/WRO Pitagor/2024/07/2/0001,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Adm Pit/2024/08/1,2024-08-28,19768.19,16906,2024-08-29,WB/133-101/24/0054,LPE,
520-10-022-1-412,Wynagrodzenie pozostałych pracowników - Umowy o Pracę,,LPE/WRO Pitagor/2024/08/1,2024-08-28,310370.93,98947.86,2024-08-29,WB/133-127/24/0070,LPE,
520-10-022-1-421,Wynagrodzenie Nauczycieli - z tyt. umów cywilno-prawnych,,LPU/WRO Pitagor/2024/01/1,2024-02-14,984.89,825,2024-02-16,WB/133-127/24/0013,LPU,
520-10-022-1-421,Wynagrodzenie Nauczycieli - z tyt. umów cywilno-prawnych,,LPU/WRO Pitagor/2024/02/1,2024-03-14,1325.56,1100,2024-03-18,WB/133-127/24/0021,LPU,
520-10-022-1-421,Wynagrodzenie Nauczycieli - z tyt. umów cywilno-prawnych,,LPU/WRO Pitagor/2024/03/1,2024-04-15,1001.39,825,2024-04-17,WB/133-127/24/0030,LPU,
520-10-022-1-421,Wynagrodzenie Nauczycieli - z tyt. umów cywilno-prawnych,,LPU/WRO Pitagor/2024/04/1,2024-05-14,997.27,837.38,2024-05-15,WB/133-127/24/0038,LPU,
520-10-022-1-421,Wynagrodzenie Nauczycieli - z tyt. umów cywilno-prawnych,,LPU/WRO Pitagor/2024/05/1,2024-06-18,997.27,825,2024-06-18,WB/133-127/24/0047,LPU,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/01/1,2024-01-23,268650.56,506.15,2024-01-26,WB/133-127/24/0004; LPE/WRO Pitagor/2023/12/2/0001; LPE/WRO Pitagor/2023/12/3/0001,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/01/1,2024-01-23,268650.56,20387.67,2024-01-26,WB/133-127/24/0004; LPE/WRO Pitagor/2023/12/2/0001; LPE/WRO Pitagor/2023/12/3/0001,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/01/2,2024-01-30,1219.85,141.08,2024-01-30,WB/133-127/24/0005,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/02/1,2024-02-22,271845.76,568.79,2024-02-26,WB/133-127/24/0014; LPE/WRO Pitagor/2024/01/3/0001; LPE/WRO Pitagor/2024/01/3/0002,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/02/1,2024-02-22,271845.76,20648.98,2024-02-26,WB/133-127/24/0014; LPE/WRO Pitagor/2024/01/3/0001; LPE/WRO Pitagor/2024/01/3/0002,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/03/1,2024-03-21,276212.97,530.01,2024-03-26,WB/133-127/24/0023,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/03/1,2024-03-21,276212.97,20767.11,2024-03-26,WB/133-127/24/0023,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/04/1,2024-04-22,281169.24,602.37,2024-04-26,WB/133-127/24/0033,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/04/1,2024-04-22,281169.24,20317.91,2024-04-26,WB/133-127/24/0033,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/05/2,2024-05-21,288784.79,608.81,2024-05-28,WB/133-127/24/0041,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/05/2,2024-05-21,288784.79,21179.59,2024-05-28,WB/133-127/24/0041,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/05/1,2024-05-21,194387.97,542.61,2024-06-26,WB/133-127/24/0048,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/05/1,2024-05-21,194387.97,24355.76,2024-06-26,WB/133-127/24/0048,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/06/1,2024-06-20,347052.72,626.56,2024-06-26,WB/133-127/24/0048,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/06/1,2024-06-20,347052.72,24242.48,2024-06-26,WB/133-127/24/0048,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/07/1,2024-07-23,306007.27,517.55,2024-07-29,WB/133-127/24/0062,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/07/1,2024-07-23,306007.27,19620.81,2024-07-29,WB/133-127/24/0062,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/08/1,2024-08-28,310370.93,644.87,2024-08-29,WB/133-127/24/0070,LPE,
520-10-022-1-511,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- Nauczyciele Umowy o Pracę",,LPE/WRO Pitagor/2024/08/1,2024-08-28,310370.93,21791.83,2024-08-29,WB/133-127/24/0070,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Pitagor/2024/01/1,2024-01-23,268650.56,211.58,2024-01-26,WB/133-127/24/0004; LPE/WRO Pitagor/2023/12/2/0001; LPE/WRO Pitagor/2023/12/3/0001,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Pitagor/2024/01/1,2024-01-23,268650.56,13289.89,2024-01-26,WB/133-127/24/0004; LPE/WRO Pitagor/2023/12/2/0001; LPE/WRO Pitagor/2023/12/3/0001,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Adm Pit/2024/01/1,2024-01-26,15075.79,2182.79,2024-01-29,WB/133-101/24/0004,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Guliwer/2024/01/1,2024-01-23,145752.26,13.35,2024-01-30,WB/133-143/24/0004; WB/133-101/24/0005,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Guliwer/2024/01/1,2024-01-23,145752.26,172.48,2024-01-30,WB/133-143/24/0004; WB/133-101/24/0005,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Guliwer/2024/02/1,2024-02-22,148669.03,12.46,2024-02-26,WB/133-143/24/0010; WB/133-101/24/0010; LPE/WRO Guliwer/2024/01/2/0001; LPE/WRO Guliwer/2024/01/3/0001,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Guliwer/2024/02/1,2024-02-22,148669.03,160.98,2024-02-26,WB/133-143/24/0010; WB/133-101/24/0010; LPE/WRO Guliwer/2024/01/2/0001; LPE/WRO Guliwer/2024/01/3/0001,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Pitagor/2024/02/1,2024-02-22,271845.76,228.44,2024-02-26,WB/133-127/24/0014; LPE/WRO Pitagor/2024/01/3/0001; LPE/WRO Pitagor/2024/01/3/0002,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Pitagor/2024/02/1,2024-02-22,271845.76,13451.97,2024-02-26,WB/133-127/24/0014; LPE/WRO Pitagor/2024/01/3/0001; LPE/WRO Pitagor/2024/01/3/0002,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Adm Pit/2024/02/1,2024-02-26,17999.04,2606.04,2024-02-27,WB/133-101/24/0011,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Pitagor/2024/03/1,2024-03-21,276212.97,278.41,2024-03-26,WB/133-127/24/0023,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Pitagor/2024/03/1,2024-03-21,276212.97,16017.3,2024-03-26,WB/133-127/24/0023,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Adm Pit/2024/03/1,2024-03-25,15075.79,2182.79,2024-03-27,WB/133-101/24/0017,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Guliwer/2024/03/1,2024-03-21,151300.48,20.53,2024-03-28,WB/133-143/24/0021; WB/133-101/24/0018,LPE,
520-10-022-1-512,"Składki z tyt. ubezpieczeń społecznych, odpisy na FP oraz FGŚP Pracodawcy- pozostali pracownicy Umowy o Pracę",,LPE/WRO Guliwer/2024/03/1,2024-03-21,151300.48,265.27,2024-03-28,WB/133-143/24/0021; WB/133-101/24/0018,LPE,
